 ,TRACK_ID,Frame,POSITION_X,POSITION_Y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,53.814060999999995,2.3377410000000003,0,0.889,1.088,1.5119999999999998,2.2640000000000002,3.633,0.204
2,1,1,53.776022999999995,2.247833,0,0.9329999999999999,1.109,1.58,2.428,3.992,0.20600000000000002
3,2,0,51.558514,3.0147109999999997,0,0.873,1.0979999999999999,1.5130000000000001,2.238,3.5389999999999997,0.214
4,2,1,51.40955400000001,3.154228,0,0.76,1.095,1.5219999999999998,2.272,3.628,0.26899999999999996
5,2,3,51.304351,3.2670120000000002,0,0.5579999999999999,1.099,1.5830000000000002,2.475,4.151,0.249
6,2,4,51.302355999999996,3.357718,0,0.499,1.092,1.5230000000000001,2.287,3.678,0.228
7,3,0,49.700105,6.282121999999999,0,0.904,1.11,1.581,2.432,4.008,0.213
8,3,1,49.64397900000001,6.30952,0,0.875,1.074,1.459,2.124,3.3089999999999997,0.22
9,3,3,49.548884,5.817952,0,0.675,1.147,1.642,2.536,4.1819999999999995,0.213
10,4,0,37.437904,20.046823999999997,0,0.897,1.131,1.618,2.495,4.112,0.205
11,4,1,37.540181000000004,20.180755,0,0.862,1.082,1.4980000000000002,2.242,3.602,0.249
12,4,3,37.687013,20.421618,0,0.552,1.046,1.42,2.079,3.266,0.243
13,5,0,44.123548,20.598375,0,0.67,1.074,1.4669999999999999,2.1519999999999997,3.38,0.214
14,5,2,44.10812,20.650378,0,0.6,1.074,1.49,2.231,3.583,0.27399999999999997
15,6,0,61.770919000000006,32.016026000000004,0,0.7859999999999999,1.0979999999999999,1.538,2.324,3.762,0.255
16,6,1,61.908574,31.937822000000004,0,0.711,1.105,1.574,2.426,4.006,0.252
17,6,3,61.80363700000001,31.967481000000003,0,0.5379999999999999,1.083,1.5090000000000001,2.273,3.676,0.256
18,6,4,61.895939000000006,31.879967000000004,0,0.462,1.101,1.545,2.343,3.8080000000000003,0.204
19,6,5,61.82026200000001,31.998337000000006,0,0.355,1.035,1.403,2.05,3.214,0.259
20,6,7,62.31488900000001,31.964023,0,0.316,1.0090000000000001,1.324,1.864,2.819,0.215
21,7,0,64.439165,34.932184,0,0.856,1.146,1.6280000000000001,2.489,4.062,0.217
