Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID4068136,4068136,1,57.659,54.944,57.909,0,7.550,151,0.250,1,-10921639,666.095,651,518,842,13988,84.826,0.300,0.043,0.643
ID4068925,4068925,1,60.400,54.876,57.880,0,7.600,152,0.250,1,-10921639,680.524,661,537,920,14291,93.167,0.596,0.054,0.751
ID4070532,4070532,1,66.466,54.856,57.948,0,7.650,153,0.250,1,-10921639,660.000,652,522,809,13860,86.445,0.545,0.032,0.475
ID4069912,4069912,1,84.098,54.837,58.150,0,7.700,154,0.250,1,-10921639,714.476,699,570,948,15004,99.595,0.854,0.063,0.856
ID4071321,4071321,1,66.144,54.886,57.894,0,7.750,155,0.250,1,-10921639,664.000,652,528,795,13944,75.490,0.300,0.050,0.833
ID4072152,4072152,1,36.450,54.857,58.100,0,7.800,156,0.250,1,-10921639,642.667,613,525,879,13496,86.025,0.855,0.020,0.300
ID4068122,4068122,6,49.067,55.320,57.027,0,7.550,151,0.250,1,-10921639,673.476,634,536,988,14143,117.668,0.300,0.053,0.572
ID4068910,4068910,6,57.408,55.348,57.062,0,7.600,152,0.250,1,-10921639,656.571,645,545,928,13788,88.408,0.800,0.043,0.617
ID4070521,4070521,6,40.225,55.302,57.127,0,7.650,153,0.250,1,-10921639,612.095,580,515,855,12854,86.250,0.300,0.015,0.205
ID4069893,4069893,6,67.220,55.370,57.143,0,7.700,154,0.250,1,-10921639,649.429,620,563,915,13638,89.063,0.300,0.055,0.760
ID4071312,4071312,6,42.961,55.326,57.126,0,7.750,155,0.250,1,-10921639,639.381,630,532,965,13427,99.711,0.300,0.041,0.504
ID4067614,4067614,7,73.588,12.185,11.178,0,7.550,151,0.250,1,-10921639,695.238,669,529,1031,14600,117.627,0.400,0.052,0.583
ID4068394,4068394,7,50.925,12.544,11.005,0,7.600,152,0.250,1,-10921639,678.333,665,544,910,14245,110.057,0.601,0.028,0.331
ID4069898,4069898,7,71.664,12.627,10.933,0,7.650,153,0.250,1,-10921639,707.667,696,592,926,14861,91.736,0.300,0.059,0.854
ID4069164,4069164,7,72.366,12.659,10.874,0,7.700,154,0.250,1,-10921639,700.381,668,549,983,14708,114.678,0.300,0.057,0.656
ID4070759,4070759,7,59.867,12.505,10.797,0,7.750,155,0.250,1,-10921639,715.857,707,627,834,15033,61.348,0.400,0.053,1.178
ID4071582,4071582,7,82.090,12.363,10.853,0,7.800,156,0.250,1,-10921639,700.190,688,589,887,14704,85.744,0.400,0.059,0.906
ID4073225,4073225,7,150.848,12.418,10.458,0,7.850,157,0.250,1,-10921639,760.714,777,531,1041,15975,126.957,0.300,0.096,1.053
ID4072393,4072393,7,93.752,12.396,10.337,0,7.900,158,0.250,1,-10921639,678.190,647,528,972,14242,123.934,0.300,0.049,0.513
ID4074025,4074025,7,94.764,12.392,10.382,0,7.950,159,0.250,1,-10921639,699.048,686,535,1152,14680,145.766,0.300,0.063,0.565
ID4074816,4074816,7,83.001,12.482,10.384,0,8.000,160,0.250,1,-10921639,707.095,708,574,948,14849,102.857,0.300,0.051,0.671
ID4076463,4076463,7,92.242,12.442,10.316,0,8.050,161,0.250,1,-10921639,702.238,658,557,1020,14747,128.229,0.400,0.054,0.563
ID4075611,4075611,7,60.697,12.484,10.374,0,8.100,162,0.250,1,-10921639,678.381,666,559,975,14246,95.801,0.300,0.040,0.540
