Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID4985420,4985420,0,92.999,36.312,16.913,0,7.550,151,0.250,1,-10921639,758.762,772,612,988,15934,111.743,0.400,0.053,0.685
ID4986427,4986427,0,89.649,36.588,16.721,0,7.600,152,0.250,1,-10921639,761.286,732,542,1193,15987,135.059,0.300,0.065,0.686
ID4987424,4987424,0,48.603,36.370,16.604,0,7.650,153,0.250,1,-10921639,741.286,717,588,982,15567,98.897,0.841,0.020,0.288
ID4988451,4988451,0,68.691,36.376,16.573,0,7.700,154,0.250,1,-10921639,705.905,713,535,943,14824,111.154,0.600,0.024,0.292
ID4989519,4989519,0,111.994,36.543,16.577,0,7.750,155,0.250,1,-10921639,787.714,797,582,1015,16542,118.494,0.592,0.063,0.790
ID4990584,4990584,0,120.962,36.482,16.576,0,7.800,156,0.250,1,-10921639,788.190,753,587,1314,16552,168.543,0.300,0.064,0.566
ID4991563,4991563,0,172.482,36.582,16.452,0,7.850,157,0.250,1,-10921639,814.238,837,558,1305,17099,183.183,0.400,0.084,0.689
ID4992602,4992602,0,230.299,36.552,16.531,0,7.900,158,0.250,1,-10921639,884.048,802,564,1759,18565,267.022,0.300,0.124,0.731
ID4993640,4993640,0,148.234,36.685,16.478,0,7.950,159,0.250,1,-10921639,822.429,823,565,1028,17271,122.450,0.598,0.091,1.125
ID4985416,4985416,1,51.354,39.230,16.758,0,7.550,151,0.250,1,-10921639,715.190,688,562,904,15019,86.292,0.400,0.037,0.593
ID4986430,4986430,1,112.398,39.103,16.852,0,7.600,152,0.250,1,-10921639,773.524,791,563,1008,16244,132.141,0.300,0.065,0.713
ID4987438,4987438,1,96.979,39.000,16.931,0,7.650,153,0.250,1,-10921639,724.143,679,553,1158,15207,135.095,0.300,0.052,0.528
ID4988455,4988455,1,70.184,39.092,16.894,0,7.700,154,0.250,1,-10921639,724.095,723,531,916,15206,95.907,0.859,0.026,0.377
ID4989527,4989527,1,156.973,38.963,16.998,0,7.750,155,0.250,1,-10921639,844.238,832,573,1342,17729,163.172,0.300,0.115,1.068
ID4990592,4990592,1,61.795,38.827,16.963,0,7.800,156,0.250,1,-10921639,742.429,735,576,974,15591,105.029,0.851,0.047,0.628
ID4985413,4985413,2,54.046,62.198,16.442,0,7.550,151,0.250,1,-10921639,699.429,697,568,933,14688,88.130,0.600,0.046,0.701
