Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID4328070,4328070,0,84.153,25.351,13.066,0,5.050,101,0.250,1,-10921639,722.714,711,568,971,15177,112.653,0.300,0.035,0.430
ID4329664,4329664,0,94.055,25.393,13.023,0,5.100,102,0.250,1,-10921639,694.667,669,582,862,14588,79.457,0.300,0.037,0.625
ID4326466,4326466,0,73.870,25.380,13.086,0,5.150,103,0.250,1,-10921639,691.190,671,553,874,14515,93.808,0.851,0.024,0.346
ID4331195,4331195,0,136.626,25.508,13.091,0,5.200,104,0.250,1,-10921639,709.524,714,529,923,14900,107.995,0.400,0.051,0.643
ID4333021,4333021,0,189.184,25.656,13.146,0,5.250,105,0.250,1,-10921639,723.381,696,543,996,15191,119.127,0.300,0.076,0.859
ID4333400,4333400,0,200.902,25.350,13.335,0,5.300,106,0.250,1,-10921639,815.429,816,525,1271,17124,161.353,0.599,0.091,0.844
ID4337644,4337644,0,64.542,25.245,13.200,0,5.350,107,0.250,1,-10921639,702.476,690,579,878,14752,83.773,0.300,0.020,0.326
ID4326467,4326467,1,54.240,33.520,12.969,0,5.150,103,0.250,1,-10921639,620.571,612,528,832,13032,75.048,0.300,0.002,0.028
ID4331184,4331184,1,134.056,33.324,12.695,0,5.200,104,0.250,1,-10921639,745.095,729,571,1043,15647,129.897,0.854,0.056,0.606
ID4332979,4332979,1,122.854,33.307,12.636,0,5.250,105,0.250,1,-10921639,719.286,708,561,958,15105,104.395,0.300,0.048,0.631
ID4333364,4333364,1,100.574,33.469,12.655,0,5.300,106,0.250,1,-10921639,685.619,647,571,925,14398,93.463,0.799,0.028,0.405
ID4337626,4337626,1,128.870,33.496,12.495,0,5.350,107,0.250,1,-10921639,730.238,699,587,950,15335,99.628,0.598,0.052,0.731
ID4333343,4333343,1,143.144,33.423,12.626,0,5.400,108,0.250,1,-10921639,727.905,718,568,949,15286,88.058,0.582,0.071,1.094
