Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID6999490,6999490,1,144.982,41.026,64.503,0,5.400,108,0.250,1,-10921639,684.524,662,525,956,14375,124.420,0.300,0.042,0.447
ID7001476,7001476,1,89.735,41.096,64.475,0,5.450,109,0.250,1,-10921639,639.143,610,543,946,13422,87.564,0.300,0.009,0.127
ID7003488,7003488,1,133.670,41.076,64.417,0,5.500,110,0.250,1,-10921639,695.333,670,567,1002,14602,113.177,0.595,0.054,0.628
ID7007454,7007454,1,125.682,41.033,64.480,0,5.550,111,0.250,1,-10921639,649.238,604,534,987,13634,121.747,0.300,0.039,0.402
ID7005486,7005486,1,83.105,41.043,64.525,0,5.600,112,0.250,1,-10921639,635.476,612,557,841,13345,74.586,0.300,0.030,0.496
ID7000560,7000560,2,126.955,63.334,33.386,0,5.450,109,0.250,1,-10921639,733.429,717,559,1033,15402,110.909,0.300,0.022,0.290
ID7002598,7002598,2,113.983,63.287,33.425,0,5.500,110,0.250,1,-10921639,714.000,672,548,1055,14994,118.073,0.855,0.024,0.281
ID7006532,7006532,2,150.808,63.308,33.441,0,5.550,111,0.250,1,-10921639,731.333,704,525,990,15358,119.238,0.300,0.059,0.680
ID7004545,7004545,2,188.614,63.306,33.424,0,5.600,112,0.250,1,-10921639,788.524,753,568,1145,16559,151.804,0.806,0.080,0.770
ID7009040,7009040,2,155.548,63.388,33.435,0,5.650,113,0.250,1,-10921639,697.333,654,525,986,14644,126.978,0.300,0.050,0.526
ID6992602,6992602,6,166.522,43.046,33.826,0,5.300,106,0.250,1,-10921639,761.095,724,596,1086,15983,140.748,0.300,0.041,0.426
ID6996576,6996576,6,96.672,43.093,33.886,0,5.350,107,0.250,1,-10921639,765.095,757,599,1095,16067,110.964,0.400,0.038,0.505
ID6998596,6998596,6,125.055,43.024,33.900,0,5.400,108,0.250,1,-10921639,710.524,721,487,969,14921,111.266,0.300,0.033,0.409
ID7000576,7000576,6,111.288,42.971,33.784,0,5.450,109,0.250,1,-10921639,734.667,738,561,972,15428,102.406,0.854,0.030,0.419
ID7002611,7002611,6,177.288,43.012,33.756,0,5.500,110,0.250,1,-10921639,762.810,759,558,1026,16019,146.482,0.300,0.051,0.502
ID7006542,7006542,6,133.292,43.073,33.804,0,5.550,111,0.250,1,-10921639,747.095,762,541,965,15689,110.424,0.400,0.048,0.625
ID6987934,6987934,11,196.978,52.431,11.048,0,5.200,104,0.250,1,-10921639,806.143,827,572,1138,16929,131.289,0.300,0.076,0.863
ID6993921,6993921,11,404.989,52.415,11.005,0,5.250,105,0.250,1,-10921639,905.048,827,605,1509,19006,257.467,0.300,0.121,0.759
ID6991942,6991942,11,248.296,52.419,10.968,0,5.300,106,0.250,1,-10921639,825.238,814,595,1297,17330,175.073,0.300,0.083,0.722
ID6995904,6995904,11,222.181,52.430,11.016,0,5.350,107,0.250,1,-10921639,862.286,877,607,1072,18108,122.101,0.848,0.088,1.145
