Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID5263609,5263609,17,102.941,61.260,43.063,0,10.100,202,0.250,1,-10921639,668.048,653,535,891,14029,102.884,0.851,0.040,0.497
ID5262537,5262537,17,183.019,61.311,43.056,0,10.150,203,0.250,1,-10921639,718.429,700,541,1009,15087,106.832,0.300,0.071,0.895
ID5264676,5264676,17,81.512,61.291,42.947,0,10.200,204,0.250,1,-10921639,648.286,622,495,810,13614,85.707,0.400,0.030,0.440
ID5266785,5266785,17,86.719,61.306,42.834,0,10.250,205,0.250,1,-10921639,661.857,650,545,877,13899,80.343,0.798,0.036,0.568
ID5265744,5265744,17,100.530,61.363,42.826,0,10.300,206,0.250,1,-10921639,660.238,672,541,842,13865,84.784,0.400,0.050,0.742
ID5268936,5268936,17,106.673,61.347,42.874,0,10.350,207,0.250,1,-10921639,657.048,654,530,944,13798,95.750,0.300,0.043,0.562
ID5267858,5267858,17,55.835,61.313,42.758,0,10.400,208,0.250,1,-10921639,646.714,644,541,817,13581,69.256,0.596,0.027,0.486
ID5261147,5261147,20,73.266,46.391,22.752,0,10.050,201,0.250,1,-10921639,637.190,613,537,771,13381,67.115,0.852,0.034,0.619
ID5263267,5263267,20,119.475,46.434,22.723,0,10.100,202,0.250,1,-10921639,656.190,662,499,868,13780,79.194,0.300,0.048,0.765
ID5262192,5262192,20,116.876,46.507,22.779,0,10.150,203,0.250,1,-10921639,654.286,619,552,834,13740,92.460,0.300,0.043,0.587
ID5264345,5264345,20,89.751,46.429,22.773,0,10.200,204,0.250,1,-10921639,659.667,636,540,813,13853,71.936,0.601,0.046,0.807
ID5266458,5266458,20,81.615,46.390,22.836,0,10.250,205,0.250,1,-10921639,639.143,635,510,881,13422,84.583,0.598,0.039,0.562
ID5265425,5265425,20,59.458,46.498,22.875,0,10.300,206,0.250,1,-10921639,610.857,611,520,790,12828,58.285,0.805,0.019,0.387
ID5268593,5268593,20,64.255,46.508,22.791,0,10.350,207,0.250,1,-10921639,622.714,614,525,794,13077,64.059,0.603,0.020,0.376
ID5262033,5262033,45,132.751,58.183,12.797,0,10.150,203,0.250,1,-10921639,679.476,673,530,844,14269,98.067,0.550,0.063,0.822
ID5264187,5264187,45,67.604,58.161,12.836,0,10.200,204,0.250,1,-10921639,631.238,624,526,777,13256,70.466,0.400,0.019,0.333
ID5266293,5266293,45,134.537,58.153,12.830,0,10.250,205,0.250,1,-10921639,670.905,649,516,1009,14089,133.574,0.300,0.055,0.527
ID5265262,5265262,45,142.533,58.140,12.868,0,10.300,206,0.250,1,-10921639,687.619,681,525,873,14440,101.159,0.843,0.058,0.747
ID5268423,5268423,45,144.991,58.147,12.857,0,10.350,207,0.250,1,-10921639,679.810,658,549,915,14276,109.962,0.839,0.057,0.662
ID5262371,5262371,52,94.772,61.906,33.633,0,10.150,203,0.250,1,-10921639,625.381,606,512,891,13133,89.537,0.300,0.018,0.248
ID5264515,5264515,52,117.079,61.970,33.522,0,10.200,204,0.250,1,-10921639,653.286,625,569,887,13719,80.313,0.300,0.046,0.712
ID5266618,5266618,52,97.320,61.949,33.581,0,10.250,205,0.250,1,-10921639,651.952,638,534,838,13691,71.285,0.591,0.044,0.768
ID5265590,5265590,52,120.225,62.051,33.622,0,10.300,206,0.250,1,-10921639,646.714,642,530,844,13581,90.718,0.300,0.044,0.607
ID5268776,5268776,52,90.312,61.936,33.583,0,10.350,207,0.250,1,-10921639,630.000,621,521,796,13230,76.419,0.300,0.031,0.490
ID5267695,5267695,52,85.137,61.964,33.548,0,10.400,208,0.250,1,-10921639,642.286,638,537,748,13488,55.973,0.300,0.036,0.807
ID5269849,5269849,52,103.897,61.892,33.571,0,10.450,209,0.250,1,-10921639,648.143,648,538,784,13611,71.949,0.300,0.051,0.882
ID5270926,5270926,52,99.381,61.941,33.645,0,10.500,210,0.250,1,-10921639,650.476,634,544,833,13660,83.897,0.400,0.037,0.560
ID5273092,5273092,52,118.976,61.949,33.513,0,10.550,211,0.250,1,-10921639,628.571,591,518,845,13200,87.664,0.300,0.036,0.497
ID5272014,5272014,52,91.907,61.964,33.565,0,10.600,212,0.250,1,-10921639,654.857,631,518,836,13752,88.582,0.600,0.052,0.727
ID5266497,5266497,65,136.211,16.402,25.425,0,10.250,205,0.250,1,-10921639,759.381,743,616,1006,15947,101.013,0.596,0.080,1.114
ID5265465,5265465,65,134.652,16.391,25.491,0,10.300,206,0.250,1,-10921639,688.762,687,522,876,14464,109.317,0.848,0.056,0.664
ID5268651,5268651,65,207.784,16.469,25.485,0,10.350,207,0.250,1,-10921639,766.429,751,570,1045,16095,134.658,0.300,0.091,0.950
ID5267575,5267575,65,137.463,16.491,25.395,0,10.400,208,0.250,1,-10921639,753.952,754,564,942,15833,108.034,0.597,0.079,1.018
ID5269707,5269707,65,130.027,16.452,25.493,0,10.450,209,0.250,1,-10921639,720.333,699,536,970,15127,124.286,0.599,0.063,0.683
ID5266441,5266441,67,50.810,42.527,22.232,0,10.250,205,0.250,1,-10921639,643.905,643,534,785,13522,58.363,0.597,0.022,0.465
ID5265408,5265408,67,70.197,42.530,22.281,0,10.300,206,0.250,1,-10921639,636.714,631,510,809,13371,73.935,0.300,0.024,0.407
ID5268582,5268582,67,89.329,42.621,22.349,0,10.350,207,0.250,1,-10921639,648.571,630,510,864,13620,83.311,0.607,0.026,0.390
ID5267511,5267511,67,55.193,42.671,22.412,0,10.400,208,0.250,1,-10921639,640.619,628,551,825,13453,67.373,0.854,0.012,0.234
ID5269649,5269649,67,84.363,42.637,22.360,0,10.450,209,0.250,1,-10921639,651.524,641,497,765,13682,80.779,0.400,0.036,0.559
ID5267084,5267084,70,51.370,35.437,62.200,0,10.250,205,0.250,1,-10921639,619.714,603,526,745,13014,63.681,0.300,0.034,0.635
ID5266030,5266030,70,99.729,35.373,62.297,0,10.300,206,0.250,1,-10921639,635.143,626,509,853,13338,78.103,0.810,0.040,0.626
ID5269213,5269213,70,96.089,35.364,62.250,0,10.350,207,0.250,1,-10921639,620.762,608,513,805,13036,78.474,0.855,0.026,0.400
ID5268154,5268154,70,107.515,35.427,62.253,0,10.400,208,0.250,1,-10921639,626.952,586,532,836,13166,92.252,0.300,0.029,0.378
ID5270314,5270314,70,64.114,35.332,62.200,0,10.450,209,0.250,1,-10921639,616.381,608,512,748,12944,60.329,0.300,0.019,0.389
ID5268430,5268430,117,113.859,61.008,13.340,0,10.350,207,0.250,1,-10921639,650.476,642,519,935,13660,94.561,0.400,0.050,0.651
ID5267375,5267375,117,136.540,61.007,13.362,0,10.400,208,0.250,1,-10921639,639.810,636,512,944,13436,108.580,0.300,0.042,0.473
ID5269517,5269517,117,186.607,61.035,13.341,0,10.450,209,0.250,1,-10921639,663.095,622,539,967,13925,119.443,0.300,0.067,0.696
ID5270602,5270602,117,141.624,61.008,13.278,0,10.500,210,0.250,1,-10921639,656.238,609,570,1007,13781,101.734,0.846,0.046,0.563
ID5272783,5272783,117,90.768,61.018,13.399,0,10.550,211,0.250,1,-10921639,652.095,654,533,819,13694,73.100,0.588,0.052,0.887
ID5271691,5271691,117,127.992,61.004,13.364,0,10.600,212,0.250,1,-10921639,663.762,649,512,858,13939,95.483,0.603,0.054,0.719
ID5274846,5274846,117,94.777,60.941,13.369,0,10.650,213,0.250,1,-10921639,633.048,624,530,757,13294,74.050,0.400,0.048,0.776
ID5273840,5273840,117,129.542,61.000,13.362,0,10.700,214,0.250,1,-10921639,651.429,621,526,882,13680,98.472,0.300,0.061,0.758
ID5275904,5275904,117,85.473,61.017,13.401,0,10.750,215,0.250,1,-10921639,640.381,625,525,841,13448,83.948,0.400,0.038,0.560
ID5267369,5267369,158,146.591,56.667,13.073,0,10.400,208,0.250,1,-10921639,648.571,638,500,909,13620,100.677,0.300,0.055,0.672
ID5269512,5269512,158,135.243,56.686,13.136,0,10.450,209,0.250,1,-10921639,656.571,650,526,845,13788,94.759,0.812,0.051,0.670
ID5270598,5270598,158,219.415,56.657,13.131,0,10.500,210,0.250,1,-10921639,689.238,613,544,988,14474,148.356,0.300,0.079,0.679
ID5272770,5272770,158,66.743,56.664,13.033,0,10.550,211,0.250,1,-10921639,639.000,628,541,860,13419,70.373,0.300,0.026,0.463
ID5271686,5271686,158,90.468,56.655,13.083,0,10.600,212,0.250,1,-10921639,640.952,610,496,848,13460,90.856,0.400,0.050,0.669
ID5274841,5274841,158,145.227,56.600,13.118,0,10.650,213,0.250,1,-10921639,654.238,627,498,977,13739,121.016,0.300,0.050,0.511
