Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID777599,777599,6,126.004,8.771,18.871,0,14.850,297,0.250,1,-10921639,1015.714,940,745,1495,21330,225.257,0.281,0.127,1.015
ID777989,777989,6,79.106,8.654,18.838,0,14.900,298,0.250,1,-10921639,901.524,925,672,1217,18932,139.017,0.294,0.073,0.879
ID778382,778382,6,88.324,8.617,18.811,0,14.950,299,0.250,1,-10921639,933.238,892,659,1317,19598,204.446,0.265,0.054,0.471
ID778191,778191,6,116.896,8.641,18.825,0,15.000,300,0.250,1,-10921639,1015.762,967,758,1532,21331,194.592,0.950,0.107,1.013
ID778577,778577,6,127.648,8.815,18.672,0,15.050,301,0.250,1,-10921639,990.333,1104,652,1304,20797,205.071,0.278,0.099,0.870
ID779158,779158,6,140.388,8.783,18.617,0,15.100,302,0.250,1,-10921639,1030.714,944,682,1602,21645,279.879,0.261,0.130,0.847
ID777630,777630,11,52.756,15.350,24.241,0,14.850,297,0.250,1,-10921639,877.714,883,613,1312,18432,157.384,0.902,0.045,0.482
ID778014,778014,11,78.042,15.415,24.133,0,14.900,298,0.250,1,-10921639,922.048,937,631,1178,19363,162.882,0.295,0.077,0.808
ID778411,778411,11,52.078,15.179,24.387,0,14.950,299,0.250,1,-10921639,883.762,911,701,1213,18559,134.155,0.950,0.041,0.516
ID778217,778217,11,74.979,15.448,24.226,0,15.000,300,0.250,1,-10921639,896.714,897,697,1097,18831,111.916,0.950,0.047,0.721
ID778603,778603,11,98.856,15.312,24.295,0,15.050,301,0.250,1,-10921639,984.381,1006,760,1315,20672,161.713,0.286,0.090,1.008
ID777613,777613,17,141.816,12.387,21.567,0,14.850,297,0.250,1,-10921639,1082.762,1035,672,1733,22738,308.428,0.258,0.137,0.843
ID778004,778004,17,105.462,12.442,21.594,0,14.900,298,0.250,1,-10921639,997.905,977,731,1357,20956,191.301,0.260,0.104,0.981
ID778397,778397,17,89.066,12.490,21.530,0,14.950,299,0.250,1,-10921639,994.381,942,710,1865,20882,286.606,0.260,0.105,0.659
ID778205,778205,17,163.874,12.563,21.580,0,15.000,300,0.250,1,-10921639,1116.524,1023,639,2092,23447,384.893,0.256,0.169,0.837
ID778588,778588,17,215.118,12.496,21.559,0,15.050,301,0.250,1,-10921639,1211.857,1028,753,2169,25449,428.948,0.262,0.185,0.883
ID779181,779181,17,118.142,12.466,21.589,0,15.100,302,0.250,1,-10921639,1037.952,1003,730,1663,21797,262.935,0.266,0.110,0.783
ID778777,778777,17,124.200,12.491,21.572,0,15.150,303,0.250,1,-10921639,1066.667,1067,664,1630,22400,227.661,0.258,0.123,1.024
ID778964,778964,17,115.228,12.631,21.622,0,15.200,304,0.250,1,-10921639,1054.952,997,752,1743,22154,240.156,0.264,0.126,0.986
ID779378,779378,17,76.148,12.593,21.595,0,15.250,305,0.250,1,-10921639,959.238,896,743,1454,20144,192.489,0.290,0.090,0.820
ID779767,779767,17,78.811,12.720,21.656,0,15.300,306,0.250,1,-10921639,973.429,964,743,1235,20442,130.198,0.498,0.089,1.217
ID779579,779579,17,82.508,12.731,21.894,0,15.350,307,0.250,1,-10921639,949.333,929,730,1410,19936,169.823,0.288,0.077,0.795
ID779948,779948,17,62.061,12.854,22.125,0,15.400,308,0.250,1,-10921639,897.714,884,640,1088,18852,120.536,0.893,0.058,0.816
ID777642,777642,21,176.997,15.402,26.822,0,14.850,297,0.250,1,-10921639,1111.286,1107,712,1774,23337,258.382,0.480,0.185,1.341
ID778029,778029,21,128.697,15.563,26.614,0,14.900,298,0.250,1,-10921639,989.714,988,583,1437,20784,246.446,0.263,0.114,0.821
ID778424,778424,21,179.452,15.494,26.682,0,14.950,299,0.250,1,-10921639,1073.667,1062,705,1599,22547,256.796,0.259,0.158,1.143
ID778230,778230,21,140.141,15.538,26.704,0,15.000,300,0.250,1,-10921639,996.810,1017,708,1206,20933,147.019,0.269,0.118,1.435
ID778612,778612,21,103.065,15.594,26.500,0,15.050,301,0.250,1,-10921639,1007.095,969,642,1499,21149,218.853,0.264,0.126,1.026
ID779206,779206,21,67.787,15.558,26.735,0,15.100,302,0.250,1,-10921639,930.667,930,684,1260,19544,155.234,0.291,0.065,0.730
