Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID72299,72299,0,75.681,33.994,14.453,0,7.500,150,0.250,1,-10921639,689.905,671,553,869,14488,96.367,0.400,0.032,0.445
ID72369,72369,0,58.978,33.948,14.669,0,7.550,151,0.250,1,-10921639,699.952,693,487,996,14699,121.402,0.300,0.032,0.360
ID72336,72336,0,88.758,33.849,14.602,0,7.600,152,0.250,1,-10921639,737.190,734,581,914,15481,93.329,0.590,0.057,0.856
ID72368,72368,1,78.148,32.361,14.614,0,7.550,151,0.250,1,-10921639,708.714,704,558,959,14883,117.723,0.400,0.047,0.537
ID72332,72332,1,53.100,32.463,14.403,0,7.600,152,0.250,1,-10921639,701.619,678,572,949,14734,100.048,0.797,0.037,0.494
ID72384,72384,1,57.719,32.691,14.315,0,7.650,153,0.250,1,-10921639,651.095,640,525,836,13673,86.765,0.300,0.023,0.343
ID72402,72402,2,79.298,30.766,15.237,0,7.400,148,0.250,1,-10921639,742.238,742,559,1058,15587,104.291,0.300,0.044,0.596
ID72317,72317,2,160.754,30.428,15.110,0,7.450,149,0.250,1,-10921639,869.381,861,632,1058,18257,120.141,0.590,0.086,1.151
ID72302,72302,2,188.357,30.743,15.281,0,7.500,150,0.250,1,-10921639,880.143,818,603,1431,18483,220.180,0.300,0.105,0.762
ID72371,72371,2,156.296,30.691,15.305,0,7.550,151,0.250,1,-10921639,833.667,829,616,1215,17507,151.399,0.854,0.106,1.055
ID72338,72338,2,124.992,30.623,15.414,0,7.600,152,0.250,1,-10921639,790.667,764,609,1005,16604,107.318,0.598,0.075,1.024
ID72388,72388,2,62.112,30.743,15.431,0,7.650,153,0.250,1,-10921639,709.524,722,537,835,14900,71.209,0.858,0.027,0.519
ID72417,72417,2,75.983,30.624,15.333,0,7.700,154,0.250,1,-10921639,731.762,730,507,993,15367,104.783,0.300,0.042,0.557
