Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID162783,162783,0,110.075,18.152,49.582,0,9.750,195,0.250,1,-10921639,784.571,795,614,1063,16476,120.393,0.586,0.072,0.871
ID162826,162826,0,133.242,18.021,49.639,0,9.800,196,0.250,1,-10921639,769.714,734,567,1145,16164,138.856,0.400,0.086,0.882
ID162967,162967,0,102.657,18.131,49.551,0,9.850,197,0.250,1,-10921639,728.524,743,540,941,15299,94.720,0.584,0.068,0.977
ID162784,162784,1,79.965,16.656,49.855,0,9.750,195,0.250,1,-10921639,744.095,722,565,1174,15626,130.986,0.300,0.060,0.640
ID162827,162827,1,81.687,16.821,49.731,0,9.800,196,0.250,1,-10921639,715.667,705,532,948,15029,112.473,0.844,0.058,0.695
ID162971,162971,1,73.800,16.887,49.787,0,9.850,197,0.250,1,-10921639,696.667,673,569,901,14630,98.308,0.300,0.046,0.617
ID162871,162871,1,62.167,16.919,49.680,0,9.900,198,0.250,1,-10921639,684.571,657,539,1028,14376,117.160,0.300,0.035,0.397
ID163159,163159,1,236.016,17.115,49.712,0,9.950,199,0.250,1,-10921639,821.381,781,561,1224,17249,196.134,0.300,0.123,0.916
ID163207,163207,1,73.020,17.165,49.734,0,10.000,200,0.250,1,-10921639,691.524,658,569,853,14522,87.695,0.400,0.047,0.712
ID163018,163018,1,68.494,17.377,49.685,0,10.050,201,0.250,1,-10921639,693.476,662,545,873,14563,97.337,0.601,0.049,0.662
ID162789,162789,3,89.219,16.178,52.004,0,9.750,195,0.250,1,-10921639,763.190,752,598,1101,16027,111.106,0.300,0.065,0.842
ID162835,162835,3,61.036,16.211,52.048,0,9.800,196,0.250,1,-10921639,712.667,693,518,1064,14966,126.686,0.788,0.037,0.399
ID162981,162981,3,82.844,16.321,52.153,0,9.850,197,0.250,1,-10921639,769.000,756,590,1037,16149,123.587,0.594,0.068,0.793
ID162833,162833,4,117.533,15.794,51.612,0,9.800,196,0.250,1,-10921639,746.905,762,571,915,15685,104.701,0.300,0.054,0.733
ID162978,162978,4,79.420,16.112,51.584,0,9.850,197,0.250,1,-10921639,734.333,764,569,940,15421,96.317,0.833,0.030,0.447
ID162875,162875,4,160.995,16.190,51.769,0,9.900,198,0.250,1,-10921639,825.190,792,613,1035,17329,138.765,0.595,0.095,1.035
ID163164,163164,4,126.541,16.090,51.714,0,9.950,199,0.250,1,-10921639,774.619,755,580,1180,16267,157.375,0.300,0.081,0.737
ID163213,163213,4,51.821,16.312,51.782,0,10.000,200,0.250,1,-10921639,711.762,741,553,920,14947,100.892,0.300,0.018,0.246
ID162793,162793,6,108.229,19.238,52.877,0,9.750,195,0.250,1,-10921639,752.286,708,607,1120,15798,136.475,0.300,0.064,0.663
ID162840,162840,6,124.315,19.382,53.085,0,9.800,196,0.250,1,-10921639,749.476,750,557,918,15739,103.565,0.563,0.064,0.875
ID162985,162985,6,113.336,19.367,53.158,0,9.850,197,0.250,1,-10921639,742.381,730,517,1099,15590,150.908,0.300,0.079,0.723
ID162883,162883,6,169.799,19.258,53.073,0,9.900,198,0.250,1,-10921639,792.762,740,527,1160,16648,168.347,0.300,0.088,0.765
ID163171,163171,6,53.342,19.290,53.010,0,9.950,199,0.250,1,-10921639,727.952,693,591,974,15287,110.787,0.590,0.060,0.744
ID162841,162841,7,100.199,13.656,53.164,0,9.800,196,0.250,1,-10921639,737.143,678,594,968,15480,115.583,0.400,0.074,0.875
