Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID4482,4482,0,190.602,8.665,16.627,0,0,0,0.350,1,-10921639,3018.730,2831,1601,4612,111693,732.502,0.490,0.090,0.678
ID3074,3074,0,142.145,8.456,16.659,0,100,1,0.350,1,-10921639,2580.568,2687,1555,3229,95481,379.606,0.490,0.075,0.944
ID3541,3541,0,105.218,8.123,16.603,0,200,2,0.350,1,-10921639,2131.432,2090,1526,3159,78863,357.853,1.330,0.082,0.900
ID2134,2134,0,77.747,8.163,16.603,0,300,3,0.350,1,-10921639,1875.676,1835,1223,2578,69400,337.335,1.118,0.044,0.466
ID5426,5426,0,81.370,8.275,16.583,0,400,4,0.350,1,-10921639,1875.919,1870,1123,2867,69409,403.551,0.490,0.066,0.574
ID2598,2598,0,105.495,8.144,16.662,0,500,5,0.350,1,-10921639,1844.973,1786,1264,2618,68264,341.811,0.490,0.104,1.014
ID4010,4010,0,40.217,8.018,16.842,0,600,6,0.350,1,-10921639,1562.703,1553,968,2129,57820,264.690,1.330,0.042,0.478
ID4968,4968,0,78.019,8.144,16.721,0,700,7,0.350,1,-10921639,1692.757,1699,1186,2571,62632,295.773,0.490,0.084,0.889
ID7581,7581,0,62.500,7.906,16.706,0,800,8,0.350,1,-10921639,1461.919,1456,926,2064,54091,279.235,0.490,0.062,0.613
ID7147,7147,0,42.701,7.933,16.738,0,900,9,0.350,1,-10921639,1422.135,1404,991,2177,52619,241.720,1.330,0.044,0.501
ID5887,5887,0,43.128,8.041,16.578,0,1000,10,0.350,1,-10921639,1448.351,1416,1116,2020,53589,221.327,1.247,0.054,0.667
ID4489,4489,1,458.710,20.243,16.864,0,0,0,0.350,1,-10921639,3353.378,2974,1564,6139,124075,1113.038,0.490,0.263,1.253
ID3075,3075,1,447.943,20.371,16.710,0,100,1,0.350,1,-10921639,3060.243,2846,1330,4655,113229,876.451,0.490,0.262,1.452
ID3543,3543,1,339.733,20.329,16.797,0,200,2,0.350,1,-10921639,2793.514,2810,1363,4121,103360,743.677,0.490,0.244,1.471
ID2138,2138,1,277.312,20.241,16.805,0,300,3,0.350,1,-10921639,2476.514,2433,1561,4122,91631,621.673,0.490,0.226,1.469
