Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID16963,16963,None,57.182,9.834,43.081,0,9.950,199,0.300,1,-10921639,703.095,689,581,864,14765,74.564,0.588,0.066,1.176
ID16966,16966,2,76.896,42.726,43.621,0,9.950,199,0.300,1,-10921639,738.619,752,546,1061,15511,134.529,0.300,0.078,0.797
ID16967,16967,None,51.074,54.352,45.290,0,9.950,199,0.300,1,-10921639,707.667,684,551,965,14861,107.657,0.300,0.056,0.699
ID16974,16974,8,105.731,50.183,61.324,0,9.950,199,0.300,1,-10921639,774.762,652,565,1326,16270,243.053,0.300,0.128,0.724
ID16927,16927,None,54.531,10.083,9.709,0,9.950,199,0.300,1,-10921639,707.286,693,504,896,14853,112.016,0.966,0.057,0.682
ID16929,16929,1,61.716,9.021,10.086,0,9.950,199,0.300,1,-10921639,730.048,707,558,1218,15331,150.797,0.300,0.078,0.703
ID16931,16931,None,51.143,10.660,10.421,0,9.950,199,0.300,1,-10921639,737.714,732,548,955,15492,115.428,0.300,0.047,0.573
ID16932,16932,3,91.670,10.724,11.066,0,9.950,199,0.300,1,-10921639,803.857,760,626,1040,16881,129.844,0.300,0.076,0.871
ID16933,16933,9,73.333,12.610,11.011,0,9.950,199,0.300,1,-10921639,730.952,708,543,1006,15350,126.051,0.420,0.078,0.840
ID16936,16936,None,63.121,12.722,12.553,0,9.950,199,0.300,1,-10921639,731.095,697,593,941,15353,106.147,0.420,0.081,1.036
ID16937,16937,10,56.197,9.898,12.774,0,9.950,199,0.300,1,-10921639,678.571,656,506,905,14250,106.997,0.300,0.050,0.602
ID16940,16940,None,53.512,52.519,20.685,0,9.950,199,0.300,1,-10921639,686.857,684,563,896,14424,90.733,0.602,0.051,0.730
ID16941,16941,5,75.287,54.790,22.724,0,9.950,199,0.300,1,-10921639,735.333,753,592,974,15442,104.073,0.300,0.071,0.937
ID16942,16942,11,67.996,18.778,25.221,0,9.950,199,0.300,1,-10921639,731.476,737,542,1053,15361,128.683,0.420,0.073,0.772
ID16944,16944,None,51.763,36.232,29.215,0,9.950,199,0.300,1,-10921639,692.619,678,534,876,14545,90.315,1.140,0.055,0.798
ID16945,16945,None,55.433,35.013,30.295,0,9.950,199,0.300,1,-10921639,720.571,705,574,1068,15132,110.702,0.300,0.064,0.778
ID16946,16946,12,50.823,39.661,30.799,0,9.950,199,0.300,1,-10921639,704.524,670,545,975,14795,121.462,0.300,0.063,0.691
ID16947,16947,13,51.371,37.079,31.954,0,9.950,199,0.300,1,-10921639,704.333,679,569,1038,14791,115.335,0.300,0.070,0.795
ID16948,16948,14,62.869,46.887,32.404,0,9.950,199,0.300,1,-10921639,690.857,670,550,1048,14508,120.317,0.300,0.078,0.829
ID16949,16949,None,67.299,54.786,34.013,0,9.950,199,0.300,1,-10921639,675.667,678,531,896,14189,105.604,0.300,0.052,0.634
ID16951,16951,None,60.378,47.681,36.157,0,9.950,199,0.300,1,-10921639,714.190,685,529,1085,14998,128.377,0.300,0.070,0.723
ID16953,16953,4,56.835,60.313,37.448,0,9.950,199,0.300,1,-10921639,696.000,655,507,1034,14616,127.589,0.300,0.077,0.777
ID16954,16954,15,65.280,56.022,37.989,0,9.950,199,0.300,1,-10921639,741.190,697,579,1160,15565,127.209,0.420,0.089,0.949
ID16955,16955,None,60.468,39.653,39.222,0,9.950,199,0.300,1,-10921639,687.905,699,518,874,14446,97.205,0.420,0.055,0.738
ID16956,16956,16,100.021,41.016,40.160,0,9.950,199,0.300,1,-10921639,806.238,795,584,1131,16931,148.094,0.300,0.086,0.862
ID16957,16957,17,61.972,42.422,40.330,0,9.950,199,0.300,1,-10921639,740.571,747,570,998,15552,118.555,0.300,0.063,0.741
ID16958,16958,7,100.987,59.090,41.455,0,9.950,199,0.300,1,-10921639,731.810,648,554,1069,15368,177.855,0.300,0.088,0.668
